-3671.843,4033.821
-3718.341,3843.360
-3771.442,4049.335
-3854.680,3800.929
-3325.692,4186.510
-3336.384,4027.757
-149.526,-17.943
-149.526,-17.943
-149.572,-124.029
-688.086,-17.929
-688.170,-124.071
438.232,-17.791
438.222,-123.844
-149.526,-17.943
-149.572,-124.029
-688.086,-17.929
-688.170,-124.071
438.232,-17.791
438.222,-123.844
-149.526,-17.943
-149.572,-124.029
-688.086,-17.929
-688.170,-124.071
438.232,-17.791
438.222,-123.844
-149.526,-17.943
-149.572,-124.029
-688.086,-17.929
-688.170,-124.071
438.232,-17.791
438.222,-123.844
-149.526,-17.943
-149.572,-124.029
-688.086,-17.929
-688.170,-124.071
438.232,-17.791
438.222,-123.844
-149.526,-17.943
-149.572,-124.029
-688.086,-17.929
-688.170,-124.071
438.232,-17.791
438.222,-123.844
-149.526,-17.943
-149.572,-124.029
-688.086,-17.929
-688.170,-124.071
438.232,-17.791
438.222,-123.844
-149.526,-17.943
-149.572,-124.029
-688.086,-17.929
-688.170,-124.071
438.232,-17.791
438.222,-123.844
-149.526,-17.943
-149.572,-124.029
-688.086,-17.929
-688.170,-124.071
438.232,-17.791
438.222,-123.844
-149.526,-17.943
-149.572,-124.029
-688.086,-17.929
-688.170,-124.071
438.232,-17.791
438.222,-123.844
-149.526,-17.943
-149.572,-124.029
-688.086,-17.929
-688.170,-124.071
438.232,-17.791
438.222,-123.844
-149.526,-17.943
-149.572,-124.029
-688.086,-17.929
-688.170,-124.071
438.232,-17.791
438.222,-123.844
-149.526,-17.943
-149.572,-124.029
-688.086,-17.929
-688.170,-124.071
438.232,-17.791
438.222,-123.844
